t=2026-06-06T15:29:11+0530 lvl=info msg="no configuration paths supplied"
t=2026-06-06T15:29:11+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\ayush\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-06-06T15:29:11+0530 lvl=info msg="open config file" path=C:\\Users\\ayush\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-06-06T15:29:11+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-06T15:29:12+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-06T15:58:41+0530 lvl=info msg="join connections" obj=join id=f908e9792151 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:58:41+0530 lvl=info msg="join connections" obj=join id=faf437cbeb48 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:58:43+0530 lvl=info msg="join connections" obj=join id=1a17795b7c24 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:58:43+0530 lvl=info msg="join connections" obj=join id=d42599ba99e1 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:58:55+0530 lvl=info msg="join connections" obj=join id=4770d455ace9 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:58:56+0530 lvl=info msg="join connections" obj=join id=1694f59ca4c4 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:58:56+0530 lvl=info msg="join connections" obj=join id=14aad3a18324 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:58:57+0530 lvl=info msg="join connections" obj=join id=16397eefa5f9 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:58:57+0530 lvl=info msg="join connections" obj=join id=ca7c9d074ff1 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:00+0530 lvl=info msg="join connections" obj=join id=6ecc9ff4ebf3 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:02+0530 lvl=info msg="join connections" obj=join id=77ca23619c48 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:02+0530 lvl=info msg="join connections" obj=join id=0ac612c5a36c l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:03+0530 lvl=info msg="join connections" obj=join id=85e2513c0783 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:03+0530 lvl=info msg="join connections" obj=join id=443ac3eb49a8 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:06+0530 lvl=info msg="join connections" obj=join id=2665875fda51 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:06+0530 lvl=info msg="join connections" obj=join id=7a791f37b510 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:06+0530 lvl=info msg="join connections" obj=join id=b3303b0fddc5 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:07+0530 lvl=info msg="join connections" obj=join id=0288dfc219bf l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:07+0530 lvl=info msg="join connections" obj=join id=12374ad68138 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:08+0530 lvl=info msg="join connections" obj=join id=986e589cae57 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:08+0530 lvl=info msg="join connections" obj=join id=eb85cb72cb80 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:08+0530 lvl=info msg="join connections" obj=join id=5e1de99d268a l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:09+0530 lvl=info msg="join connections" obj=join id=cf52ce5825bd l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:09+0530 lvl=info msg="join connections" obj=join id=c8c8a84efa2f l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:09+0530 lvl=info msg="join connections" obj=join id=9e60ea5ccf3b l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:57+0530 lvl=info msg="join connections" obj=join id=33e415fbb4c3 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:57+0530 lvl=info msg="join connections" obj=join id=8df3e2daae69 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:57+0530 lvl=info msg="join connections" obj=join id=4119a5fd6b2f l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:58+0530 lvl=info msg="join connections" obj=join id=9eb5c62c6635 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:59:58+0530 lvl=info msg="join connections" obj=join id=7ec2a5929f73 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:00+0530 lvl=info msg="join connections" obj=join id=aa7c9e7eacc6 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:00+0530 lvl=info msg="join connections" obj=join id=430e534978c0 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:00+0530 lvl=info msg="join connections" obj=join id=b129fb8003db l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:00+0530 lvl=info msg="join connections" obj=join id=c1cb10b4db8f l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:01+0530 lvl=info msg="join connections" obj=join id=259155f87dec l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:02+0530 lvl=info msg="join connections" obj=join id=07956e8ab8a0 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:03+0530 lvl=info msg="join connections" obj=join id=64a5c85cd444 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:05+0530 lvl=info msg="join connections" obj=join id=d2b598af8455 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:18+0530 lvl=info msg="join connections" obj=join id=1d16779835b8 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:18+0530 lvl=info msg="join connections" obj=join id=b83f6fd04cbd l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:19+0530 lvl=info msg="join connections" obj=join id=94fa865a3558 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:19+0530 lvl=info msg="join connections" obj=join id=54c17cae2ad1 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:50+0530 lvl=info msg="join connections" obj=join id=6a2fdd962742 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:50+0530 lvl=info msg="join connections" obj=join id=5cecaca2677c l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:51+0530 lvl=info msg="join connections" obj=join id=0d7a2eabae3c l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:51+0530 lvl=info msg="join connections" obj=join id=40c18e018cef l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:51+0530 lvl=info msg="join connections" obj=join id=e2c3470fa0ed l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:53+0530 lvl=info msg="join connections" obj=join id=9b25e703abf4 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:53+0530 lvl=info msg="join connections" obj=join id=119c4695fa7c l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:54+0530 lvl=info msg="join connections" obj=join id=67fe6fb9ecc1 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:54+0530 lvl=info msg="join connections" obj=join id=d5fe0eb6db01 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:54+0530 lvl=info msg="join connections" obj=join id=e675a89a40b0 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:55+0530 lvl=info msg="join connections" obj=join id=6865c7c550cc l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:55+0530 lvl=info msg="join connections" obj=join id=3e2c94afe083 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:55+0530 lvl=info msg="join connections" obj=join id=44739bde2bf3 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:56+0530 lvl=info msg="join connections" obj=join id=01b9c50f82d6 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:56+0530 lvl=info msg="join connections" obj=join id=fc58355724e7 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:56+0530 lvl=info msg="join connections" obj=join id=954c8a742dee l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:56+0530 lvl=info msg="join connections" obj=join id=5cc2bb1dd751 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:59+0530 lvl=info msg="join connections" obj=join id=b16212fa3532 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:59+0530 lvl=info msg="join connections" obj=join id=b1fd497a6581 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:00:59+0530 lvl=info msg="join connections" obj=join id=5eca8a1aa10a l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:01:00+0530 lvl=info msg="join connections" obj=join id=4c68971c2e9e l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:01:00+0530 lvl=info msg="join connections" obj=join id=026c592f022b l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:01:01+0530 lvl=info msg="join connections" obj=join id=1593aadeb940 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:01:33+0530 lvl=info msg="join connections" obj=join id=a554d24a3590 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:01:35+0530 lvl=info msg="join connections" obj=join id=f8825cf184e8 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:01:35+0530 lvl=info msg="join connections" obj=join id=b645fa5dd05b l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:01:36+0530 lvl=info msg="join connections" obj=join id=719d768ed9b7 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:01:36+0530 lvl=info msg="join connections" obj=join id=3e91ce96130d l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:01:36+0530 lvl=info msg="join connections" obj=join id=70783eb53d2b l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:01:36+0530 lvl=info msg="join connections" obj=join id=20ea4a55acf0 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:01:38+0530 lvl=info msg="join connections" obj=join id=3836dd5b8db1 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:01:38+0530 lvl=info msg="join connections" obj=join id=ae366efe2865 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:01:56+0530 lvl=info msg="join connections" obj=join id=fbb326267c52 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:01:56+0530 lvl=info msg="join connections" obj=join id=1ef72dd5a759 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:01:56+0530 lvl=info msg="join connections" obj=join id=f68e097ad123 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:01:56+0530 lvl=info msg="join connections" obj=join id=8caa46cba4a3 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:01:56+0530 lvl=info msg="join connections" obj=join id=bc7005dfdb67 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:01:57+0530 lvl=info msg="join connections" obj=join id=68789d5ae345 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:08+0530 lvl=info msg="join connections" obj=join id=38d9412c2440 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:08+0530 lvl=info msg="join connections" obj=join id=14165aed040a l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:09+0530 lvl=info msg="join connections" obj=join id=41c9be8f3cec l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:09+0530 lvl=info msg="join connections" obj=join id=5fffd2ef8055 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:09+0530 lvl=info msg="join connections" obj=join id=ef79fd4f262e l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:11+0530 lvl=info msg="join connections" obj=join id=c7f5916993b2 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:13+0530 lvl=info msg="join connections" obj=join id=598bf9ac7abf l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:13+0530 lvl=info msg="join connections" obj=join id=f4e2a1804cf3 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:14+0530 lvl=info msg="join connections" obj=join id=27a620aa99a9 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:14+0530 lvl=info msg="join connections" obj=join id=a32f7d424628 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:26+0530 lvl=info msg="join connections" obj=join id=42e5bfaeca67 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:26+0530 lvl=info msg="join connections" obj=join id=d7813fffceb0 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:26+0530 lvl=info msg="join connections" obj=join id=0ab45178475a l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:27+0530 lvl=info msg="join connections" obj=join id=f9a2a26e1c37 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:27+0530 lvl=info msg="join connections" obj=join id=685d540d37d7 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:31+0530 lvl=info msg="join connections" obj=join id=060c6d9d266d l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:35+0530 lvl=info msg="join connections" obj=join id=f3bfcf0a3f57 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:35+0530 lvl=info msg="join connections" obj=join id=32df4b85fab1 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:36+0530 lvl=info msg="join connections" obj=join id=1bb1a38597c0 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:36+0530 lvl=info msg="join connections" obj=join id=fcd7972ddcde l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:36+0530 lvl=info msg="join connections" obj=join id=0592b6269552 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:37+0530 lvl=info msg="join connections" obj=join id=38ac19d78af5 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:38+0530 lvl=info msg="join connections" obj=join id=e690aea9ffb6 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:38+0530 lvl=info msg="join connections" obj=join id=45e7ce733c87 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:39+0530 lvl=info msg="join connections" obj=join id=efbaada9365a l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:39+0530 lvl=info msg="join connections" obj=join id=370cf733ef0b l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:39+0530 lvl=info msg="join connections" obj=join id=b8f8954a42fe l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:41+0530 lvl=info msg="join connections" obj=join id=05725daf61f8 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:42+0530 lvl=info msg="join connections" obj=join id=5ab360674971 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:42+0530 lvl=info msg="join connections" obj=join id=5de824c3be92 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:43+0530 lvl=info msg="join connections" obj=join id=9fcd4b49fb47 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:43+0530 lvl=info msg="join connections" obj=join id=aee2f2a5e56f l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:44+0530 lvl=info msg="join connections" obj=join id=79e88a06cdc4 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:44+0530 lvl=info msg="join connections" obj=join id=447c99a55555 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:45+0530 lvl=info msg="join connections" obj=join id=92df8dee0d8e l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:45+0530 lvl=info msg="join connections" obj=join id=4ece85126ce1 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:45+0530 lvl=info msg="join connections" obj=join id=135e4818d416 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:46+0530 lvl=info msg="join connections" obj=join id=a080be9b3fe3 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T16:02:46+0530 lvl=info msg="join connections" obj=join id=a897411f4817 l=127.0.0.1:5000 r=122.161.50.164:23015
